country,location_name,latitude,longitude,last_updated,temperature_fahrenheit,wind_mph,humidity,cloud,uv_index
Myanmar,Pathein,16.78,94.73,2024-05-16,86.6,8.9,71,11,1
Namibia,Windhoek,-22.57,17.08,2024-05-16,75.2,12.5,24,0,7
Turkey,Yaren,39.55,27.62,2024-05-16,69.8,6.9,46,0,5
Nepal,Kathmandu,27.72,85.32,2024-05-16,77,5.6,57,25,1
Netherlands,Amsterdam,52.37,4.89,2024-05-16,68,12.5,68,50,4
New Zealand,Wellington,-41.3,174.78,2024-05-17,53.6,15,67,75,1
Nicaragua,Managua,12.15,-86.27,2024-05-16,82.4,4.3,84,50,7
Niger,Niamey,13.52,2.12,2024-05-16,104,18.6,23,0,10
Nigeria,Abuja,9.18,7.18,2024-05-16,95.3,6.3,43,32,9
North Korea,Pyongyang,39.02,125.75,2024-05-16,52.9,3.8,46,14,1
Macedonia,Skopje,42,21.43,2024-05-16,57.2,5.6,94,100,4
Norway,Oslo,59.92,10.75,2024-05-16,64.4,28.6,42,0,5
Oman,Muscat,23.61,58.59,2024-05-16,91.4,5.6,59,0,8
Pakistan,Islamabad,33.7,73.17,2024-05-16,91.4,7.2,22,0,8
Palau,Meyungs,7.35,134.45,2024-05-16,80.6,2.2,89,50,1
Bolivia,National,-11.18,-67.08,2024-05-16,78.8,2.2,55,7,8
Panama,Panama City,8.97,-79.53,2024-05-16,82.4,5.6,84,50,6
Papua New Guinea,Port Moresby,-9.46,147.19,2024-05-17,75.2,2.2,100,25,1
Paraguay,Pasto,-19.45,-61.15,2024-05-16,76.1,16.3,50,7,7
Peru,Lima,-12.05,-77.05,2024-05-16,66.3,4.5,81,19,6
Philippines,Manila,14.6,120.98,2024-05-16,87.8,8.1,71,50,1
Poland,Warsaw,52.25,21,2024-05-16,69.8,19.2,28,0,5
Portugal,Lisbon,38.72,-9.13,2024-05-16,66.2,12.5,60,75,5
